,Year,Month,NSE_degC,RMSE_degC,MeanBias_degC,MAE_degC,R2,RMSE_degF,MeanBias_degF,MAE_degF
0,2022,1,-2.2427302497262667,1.474606279336494,-1.4227115808470285,1.4227115808470285,0.836721137729709,2.654291302805689,-2.5608808455246512,2.5608808455246512
1,2022,2,-6.9270028766649565,1.1770001265620778,0.6765304032904021,1.0348493934618817,0.816867440008638,2.11860022781174,1.217754725922724,1.862728908231387
2,2022,3,-1.2957085916429159,1.0717614044868617,0.8244000538767545,0.8420212353747566,0.7240597188198407,1.9291705280763511,1.483920096978158,1.5156382236745618
3,2022,4,-3.193327277416655,1.6115395730238196,1.4216336210681755,1.4253882592496083,0.19164480198623696,2.9007712314428753,2.558940517922716,2.5656988666492953
4,2022,5,-0.8386922214603929,1.4407464665802567,-0.6467294159172253,1.1994619334618353,0.010640946067857064,2.5933436398444623,-1.1641129486510056,2.1590314802313038
5,2022,6,-2.2137244907758644,1.56364656370051,1.3287113036529352,1.4172621729747468,0.1463195379018418,2.814563814660918,2.3916803465752836,2.551071911354544
6,2022,7,-3.5653686324539935,0.9474890707979402,0.7857974664444246,0.7930772078679927,0.11684638444464629,1.7054803274362924,1.4144354395999643,1.427538974162387
7,2022,8,-6.782925015024244,1.302456225387207,1.1456004372813202,1.1878173963669696,0.0027570800493186493,2.3444212056969724,2.0620807871063764,2.138071313460545
8,2022,9,0.008384473264112291,1.0158391728994904,-0.8802153052957259,0.919716978365485,0.7652170848618088,1.828510511219083,-1.5843875495323065,1.6554905610578732
9,2022,10,,,,,,,,
10,2022,11,,,,,,,,
11,2022,12,,,,,,,,
12,2022,annual,0.46645806780361887,1.310414821729438,0.3528344529702506,1.137892217238476,0.5947475915178735,2.3587466791129885,0.6351020153464512,2.0482059910292567
