,Year,Month,NSE_degC,RMSE_degC,MeanBias_degC,MAE_degC,R2,RMSE_degF,MeanBias_degF,MAE_degF
0,2022,1,-2.2427302497262667,1.474606279336494,-1.4227115808470285,1.4227115808470285,0.836721137729709,2.654291302805689,-2.5608808455246512,2.5608808455246512
1,2022,2,-13.514381487077973,1.5926533830705767,-1.0407128879564504,1.4731874646917313,0.05400953794262315,2.866776089527038,-1.873283198321611,2.6517374364451163
2,2022,3,-1.550621989939501,1.1296991019072231,0.8903649107290907,0.891082797911557,0.7338664955956952,2.033458383433002,1.6026568393123635,1.6039490362408027
3,2022,4,0.13163920576342159,0.7333506791749661,-0.12577247281516435,0.6074393146233172,0.4581645351844477,1.320031222514939,-0.22639045106729583,1.093390766321971
4,2022,5,-0.793141901358535,1.4227885885829323,-0.11654980916943687,1.1147278456184262,0.0431310954860368,2.561019459449278,-0.20978965650498638,2.006510122113167
5,2022,6,-4.392085975427348,2.025408730709237,1.8604383566521088,1.8604383566521088,0.2961147267579812,3.645735715276627,3.348789041973796,3.348789041973796
6,2022,7,-3.01884618219432,0.8889697356576328,0.7543369324113407,0.7570906643900925,0.0036583151657064994,1.600145524183739,1.3578064783404133,1.3627631959021667
7,2022,8,-5.70445836236964,1.2088531924535966,1.1446981709711235,1.1446981709711235,0.31961969797892953,2.175935746416474,2.0604567077480223,2.0604567077480223
8,2022,9,0.30476000447487994,0.8505907802913315,-0.38949431434317533,0.7207060041810917,0.5133079221124097,1.5310634045243967,-0.7010897658177156,1.297270807525965
9,2022,10,,,,,,,,
10,2022,11,,,,,,,,
11,2022,12,,,,,,,,
12,2022,annual,0.46342658190790487,1.3141323151699942,0.18303840135157595,1.1067633777543922,0.6386150654452846,2.3654381673059897,0.3294691224328367,1.992174079957906
13,2000,1,-6.070606445369873,2.202496617727905,-2.1833473404220336,2.1833473404220336,0.9456670834633704,3.9644939119102287,-3.9300252127596607,3.9300252127596607
14,2000,2,-37.99475953194024,1.7223292774823153,-1.7004434896976068,1.7004434896976068,0.18751201430333353,3.1001926994681677,-3.060798281455692,3.060798281455692
15,2000,3,-1.3476901511322743,1.4037682530811648,-0.06633256279355859,1.291534074887632,0.09546530632659178,2.526782855546097,-0.11939861302840547,2.3247613347977376
16,2000,4,-0.43777434163037254,1.4725589140447528,-0.39915657154051537,1.2589984230615798,0.09496730581639645,2.650606045280555,-0.7184818287729277,2.266197161510844
17,2000,5,-0.714580550601829,0.986338771375731,0.5608524193878341,0.8095184943490847,0.008835564202651424,1.7754097884763158,1.0095343548981015,1.4571332898283527
18,2000,6,-2.5871071912600474,0.6690071264466962,0.24787698035117386,0.5315567879740821,0.16507817429113192,1.2042128276040533,0.446178564632113,0.9568022183533479
19,2000,7,-4.203128728065918,1.3209981363292842,-1.0104809723495831,1.1709868178456022,0.023301469304038414,2.3777966453927117,-1.8188657502292496,2.107776272122084
20,2000,8,-0.9212042294630616,0.7196515614846559,-0.04273243588138801,0.5096857513418853,1.5536806356183436e-05,1.2953728106723807,-0.07691838458649843,0.9174343524153936
21,2000,9,-0.5768518348988085,0.5311206802039272,0.07240807448315631,0.4375296473652995,0.0009392201899996148,0.956017224367069,0.13033453406968137,0.787553365257539
22,2000,10,0.19075352568078796,0.8017582431999136,-0.7068213526819104,0.7212182753816734,0.8308702348697693,1.4431648377598445,-1.2722784348274387,1.2981928956870121
