,Year,Month,NSE_degC,RMSE_degC,MeanBias_degC,MAE_degC,R2,RMSE_degF,MeanBias_degF,MAE_degF
0,2022,1,-0.769525723399376,0.42948530961599707,-0.37896780469360486,0.4064304626052682,0.6449279955710641,0.7730735573087948,-0.6821420484484888,0.7315748326894828
1,2022,2,-0.0991395275606195,0.541785179201688,-0.26096075722474416,0.4510924230974524,0.19172740860888363,0.9752133225630384,-0.4697293630045395,0.8119663615754144
2,2022,3,0.24017275200921417,0.635537419566511,0.5940838780144955,0.5940838780144955,0.927837116060701,1.1439673552197198,1.069350980426092,1.069350980426092
3,2022,4,0.7037151966582726,0.3287883855928154,0.17536118847751106,0.2698149381784734,0.792292719138732,0.5918190940670678,0.3156501392595199,0.48566688872125213
4,2022,5,0.8846352229076857,0.21807483178349574,-0.055446556827264896,0.18457535629233857,0.8996795239889293,0.3925346972102923,-0.09980380228907682,0.3322356413262094
5,2022,6,-1.5667340937727912,0.5320679241748676,0.4278227687659822,0.4370581077096006,0.25981586231363174,0.9577222635147616,0.770080983778768,0.7867045938772811
6,2022,7,-0.5743345364376977,0.3456327870188605,-0.22655052726095132,0.28433033575101285,0.10211347021838728,0.622139016633949,-0.40779094906971236,0.5117946043518231
7,2022,8,-0.46385201378768226,0.2629560088564595,-0.137905696086656,0.2264485151030196,0.09338854157668086,0.47332081594162706,-0.24823025295598083,0.4076073271854353
8,2022,9,-0.8024388530961959,0.4654548076296244,-0.39823272854517916,0.3983088937591398,0.6183041637038282,0.8378186537333239,-0.7168189113813225,0.7169560087664517
9,2022,10,,,,,,,,
10,2022,11,,,,,,,,
11,2022,12,,,,,,,,
12,2022,annual,0.9307463728801133,0.43649742073704195,-0.0274972610029921,0.3602856081204954,0.9347838464091599,0.7856953573266755,-0.04949506980538578,0.6485140946168918
13,2000,1,-1.3073419922349983,0.7008283837631507,-0.6658899991773299,0.6658899991773299,0.78819469031985,1.2614910907736714,-1.198601998519194,1.198601998519194
14,2000,2,-10.212018964720924,0.6028923572565612,-0.5743497641057086,0.5743497641057086,0.19661297490994956,1.0852062430618101,-1.0338295753902755,1.0338295753902755
15,2000,3,-1.8495521556448429,0.6650208292913257,0.09809062326480503,0.6307415833970144,0.7906888811049363,1.1970374927243863,0.17656312187664905,1.1353348501146259
16,2000,4,-0.11693691866166112,0.5172619699395771,0.07810942178830782,0.3963804453365263,0.0044311920046475285,0.9310715458912387,0.14059695921895407,0.7134848016057473
