,Year,Month,NSE_degC,RMSE_degC,MeanBias_degC,MAE_degC,R2,RMSE_degF,MeanBias_degF,MAE_degF
0,2022,1,-1.425424335542408,0.5945024448252885,-0.5716435144461718,0.5716435144461718,0.8279211977108218,1.0701044006855194,-1.0289583260031092,1.0289583260031092
1,2022,2,-2.0784348494885276,0.7387435182518075,-0.5448839055122834,0.6179237505030262,0.11568108315731587,1.3297383328532535,-0.9807910299221101,1.1122627509054472
2,2022,3,-0.44874293444618507,0.6142824746180504,0.5372009391224183,0.5372009391224183,0.9303271565615885,1.1057084543124909,0.966961690420353,0.966961690420353
3,2022,4,-0.39258868307224226,0.44515967729902295,0.20403813054379014,0.3861656150093912,0.4526372615597833,0.8012874191382413,0.36726863497882223,0.6950981070169042
4,2022,5,0.7315953890603579,0.2280810111354935,0.02005804171194527,0.1760273734478988,0.7663576523614312,0.41054582004388834,0.03610447508150148,0.31684927220621784
5,2022,6,-3.293439241201778,0.8660712389562013,0.8093325496313651,0.8093325496313651,0.4655177661278439,1.5589282301211624,1.4567985893364572,1.4567985893364572
6,2022,7,-1.0203528942784206,0.33253682335332685,0.22861584687876477,0.27340613906487393,0.007689034026835568,0.5985662820359884,0.4115085243817766,0.49213105031677307
7,2022,8,-3.504275895902433,0.43333227933355145,0.3912631488396972,0.3912631488396972,0.2492148827859877,0.7799981028003926,0.704273667911455,0.704273667911455
8,2022,9,0.4024787945875228,0.36119031112932287,-0.1650475616635524,0.2843420928959591,0.7331493916193963,0.6501425600327811,-0.2970856109943943,0.5118157672127264
9,2022,10,,,,,,,,
10,2022,11,,,,,,,,
11,2022,12,,,,,,,,
12,2022,annual,0.794107838525273,0.5452348331698668,0.10609257335644841,0.4473730670430002,0.8757013326665528,0.9814226997057602,0.19096663204160713,0.8052715206774004
13,2000,1,-0.7585562235170664,0.8119413573970596,-0.7777555341963027,0.7777555341963027,0.858208967263928,1.4614944433147075,-1.399959961553345,1.399959961553345
14,2000,2,-18.20299454704513,0.7775421838374373,-0.7575943263402548,0.7575943263402548,0.09216317622537423,1.3995759309073872,-1.3636697874124586,1.3636697874124586
15,2000,3,-6.1039235594673515,0.5804208467307485,-0.013231422546883862,0.5478992947639912,0.44689556158306976,1.0447575241153473,-0.023816560584390953,0.9862187305751843
16,2000,4,-0.38724230805761684,0.5410251417465447,-0.08012111233250145,0.4362715826959363,0.054195562800352995,0.9738452551437805,-0.14421800219850262,0.7852888488526854
17,2000,5,-1.2794878470949458,0.3617299578764366,0.29107754719557605,0.3345929590032654,0.19654431496501068,0.6511139241775858,0.5239395849520369,0.6022673262058778
18,2000,6,-7.511364452306207,0.4093043366499512,-0.039308108979721784,0.31263869300414715,0.0060043347326023,0.7367478059699122,-0.07075459616349922,0.5627496474074649
19,2000,7,-3.309018113365913,0.54940714840528,-0.44418523916984115,0.5010688741863691,0.0021484932680231627,0.9889328671295041,-0.7995334305057141,0.9019239735354645
20,2000,8,-2.1808940909511842,0.3469309168617237,-0.12529946051643157,0.22824548725217025,0.13769929352455793,0.6244756503511028,-0.22553902892957683,0.41084187705390646
21,2000,9,-0.28864502219668453,0.26282475681476875,-0.10154225298580825,0.1950761802705194,0.14465145240448302,0.47308456226658374,-0.18277605537445485,0.3511371244869349
22,2000,10,-0.11317119460494496,0.2467305039413573,-0.20070295801676064,0.21532015166159008,0.6278833719812396,0.4441149070944431,-0.3612653244301692,0.38757627299086217
23,2000,11,-0.361220244202741,0.3647276166327005,0.20961774368006972,0.34130463180120685,0.09634704033111452,0.6565097099388609,0.3773119386241255,0.6143483372421723
24,2000,12,0.6133312447965003,0.4218360357381295,-0.30395041650231264,0.3646362043949533,0.8273993677642915,0.7593048643286331,-0.5471107497041627,0.656345167910916
25,2000,annual,0.7069680172519744,0.5036243951914349,-0.1942795611441199,0.41689628897879666,0.8052417248376026,0.9065239113445828,-0.34970321005941585,0.750413320161834
26,2001,1,-0.7186359160383773,0.9961237203965646,0.9709289273725711,0.9709289273725711,0.9451910651280652,1.7930226967138163,1.747672069270628,1.747672069270628
27,2001,2,0.6267126397698408,0.40079562048430667,0.2828050192838453,0.29940594478277294,0.813036585113563,0.721432116871752,0.5090490347109216,0.5389307006089913
28,2001,3,0.7047080246848951,0.5015689706184511,0.41086185056814106,0.45794401243139754,0.9054615363947778,0.9028241471132119,0.7395513310226539,0.8242992223765155
29,2001,4,-0.5434663556166262,0.8470123369081064,0.2448237071416038,0.7757297637176208,0.5083977119304233,1.5246222064345916,0.4406826728548869,1.3963135746917175
30,2001,5,-0.8027962176399623,0.5317501475701502,0.024546893373758726,0.4412944779512551,0.17876268752102087,0.9571502656262703,0.044184408072765705,0.7943300603122592
31,2001,6,-0.2585177394009157,0.7070205967263264,-0.4334172637043719,0.5772803237201531,0.2479817044829659,1.2726370741073876,-0.7801510746678694,1.0391045826962757
32,2001,7,-0.8052415717583885,0.39529383209569885,-0.24437794123323336,0.3319566970398147,0.07810584656294382,0.7115288977722579,-0.43988029421982006,0.5975220546716664
33,2001,8,-3.9299096626926406,0.4846883130953931,0.34144518181816563,0.3976839219474562,0.0971288386840175,0.8724389635717076,0.6146013272726981,0.7158310595054213
34,2001,9,-3.3062550957194725,1.0292391737587183,1.0129950305899362,1.0129950305899362,0.9372892534477669,1.852630512765693,1.8233910550618853,1.8233910550618853
35,2001,10,-21.233030864611262,1.0726363199440134,1.016723795275121,1.016723795275121,0.0020419906358536077,1.9307453758992241,1.8301028314952177,1.8301028314952177
36,2001,11,-15.518299621111257,1.2254848230721362,1.1925999362925217,1.1925999362925217,0.8885869861496082,2.2058726815298453,2.146679885326539,2.146679885326539
37,2001,12,0.8870179210658216,0.3041390851069345,-0.1639017578075565,0.2587325821298382,0.9229755347913517,0.5474503531924821,-0.29502316405360174,0.46571864783370875
38,2001,annual,0.715469550799851,0.7689824837844758,0.3875934747394914,0.644588260060536,0.8523811510517157,1.3841684708120563,0.6976682545310845,1.160258868108965
39,2002,1,0.22937080789857045,0.44511619752836407,0.3812859041459168,0.41409452560590737,0.8091593720366033,0.8012091555510553,0.6863146274626503,0.7453701460906332
40,2002,2,-0.031498347934677096,0.188399301570818,0.11598297288627668,0.15026564118341332,0.3983574828411512,0.3391187428274724,0.20876935119529802,0.270478154130144
41,2002,3,-1.332611184511161,0.5129718764130352,0.4842986792394234,0.4842986792394234,0.7725669519263326,0.9233493775434634,0.8717376226309621,0.8717376226309621
42,2002,4,-3.067319777906776,0.7123051714224545,0.6095976803536569,0.6354730986523193,0.0013958804793035718,1.282149308560418,1.0972758246365826,1.1438515775741747
43,2002,5,-0.22883979448349145,0.5208616964988942,0.018767179846496198,0.4421274464838929,0.15384404090971895,0.9375510536980096,0.03378092372369316,0.7958294036710073
44,2002,6,0.11761723197857821,0.4428345553966014,-0.14036944468616527,0.3574699057296315,0.2117921557201219,0.7971021997138825,-0.2526650004350975,0.6434458303133367
45,2002,7,-2.6843793934885243,0.5172513775094,-0.291212270500511,0.4599884156107666,0.005068061292697131,0.9310524795169199,-0.5241820869009198,0.8279791480993799
46,2002,8,0.0030158949768503973,0.4187966013833598,-0.0018306886516111464,0.3563691559339989,0.06290122736421512,0.7538338824900476,-0.0032952395729000635,0.6414644806811981
47,2002,9,-2.1553852596844667,0.38167432102926213,0.13451139732330192,0.2687321415547056,0.15138744373599175,0.6870137778526718,0.24212051518194347,0.48371785479847007
48,2002,10,0.5758571159143417,0.2780836768632508,-0.11804743394877437,0.16297096519956644,0.65290398495668,0.5005506183538515,-0.21248538110779389,0.2933477373592196
49,2002,11,-0.750252206897644,0.4529962961269342,-0.18025740253687642,0.33035758392139913,0.03445417143153537,0.8153933330284816,-0.32446332456637755,0.5946436510585185
50,2002,12,0.6086759963937403,0.553683648588538,-0.22473755622482497,0.48051287766500544,0.8838899079603242,0.9966305674593685,-0.40452760120468495,0.8649231797970098
51,2002,annual,0.8196228036285724,0.4709830517001141,0.06481158461787076,0.3802182024295141,0.8252388017379982,0.8477694930602054,0.11666085231216737,0.6843927643731254
52,2003,1,0.5209989183866797,0.1869802124326887,-0.1070713410428015,0.1468300214261605,0.7093511425388669,0.3365643823788397,-0.1927284138770427,0.2642940385670889
53,2003,2,0.015512366016686041,0.12552911559617194,0.04631445614506597,0.09739658333589674,0.202980192496399,0.2259524080731095,0.08336602106111875,0.17531385000461414
54,2003,3,0.7048149025100041,0.189619070032959,0.0887235937003279,0.1632919832162117,0.7849871275686067,0.3413143260593262,0.1597024686605902,0.29392556978918105
55,2003,4,0.3470816125660937,0.24652596658700904,0.046811325689777424,0.19842873883385817,0.3926737890606554,0.4437467398566163,0.08426038624159936,0.3571717299009447
56,2003,5,-0.4285364434914489,0.5049837407423258,0.34591249356473575,0.4367242838076933,0.24781938511801566,0.9089707333361864,0.6226424884165244,0.7861037108538479
57,2003,6,-2.2748961846436213,0.2374258649018762,0.0481233299386964,0.20258711306939226,0.5328813845217464,0.42736655682337715,0.08662199388965351,0.3646568035249061
58,2003,7,-0.11055655301874667,0.28178910070125274,-0.1525090731426335,0.24970497796937752,0.21501370407409334,0.507220381262255,-0.27451633165674033,0.44946896034487954
59,2003,8,0.5763921767666429,0.20665912673387354,0.07663267981126423,0.18117381532128654,0.6362056504212483,0.3719864281209724,0.13793882366027563,0.32611286757831576
60,2003,9,-6.09489091318642,0.2841626136990634,-0.08264146431488104,0.21928734428676738,0.01654106610836365,0.5114927046583142,-0.14875463576678588,0.3947172197161813
61,2003,10,-9.031681170022262,0.3226515397243952,-0.1943137784549937,0.21933160603569873,0.011224342319399757,0.5807727715039114,-0.3497648012189887,0.39479689086425773
62,2003,11,-2.47846614558347,0.22430083735637502,0.05445947215149989,0.17964440924776007,0.023078651543747216,0.40374150724147506,0.0980270498726998,0.3233599366459681
