,Year,Month,NSE_degF,RMSE_degF,MeanBias_degF,MAE_degF,R2,RMSE_degC,MeanBias_degC,MAE_degC
0,2000,1,0.104837111762488,1.79686850039597,-1.461571942035267,1.5124672153683605,0.973275073317377,0.9982602779977611,-0.8119844122418151,0.8402595640935335
1,2000,2,0.3547902293118964,1.1940662320203814,-0.8150126352143822,0.9157822372109194,0.8513871224584227,0.6633701289002119,-0.45278479734132343,0.5087679095616219
2,2000,3,0.40255334294969347,0.8918550665865456,-0.6970803706579054,0.7317034767842723,0.7867574943667625,0.4954750369925253,-0.3872668725877252,0.4065019315468179
3,2000,4,0.9644366493270234,0.6524903453559043,-0.48880877870196143,0.5761384151836062,0.9878818663418406,0.3624946363088357,-0.2715604326122008,0.3200768973242257
4,2000,5,0.9485500516762382,0.9694226759412242,-0.6117212289600817,0.742388054459955,0.9690419873856012,0.5385681533006801,-0.3398451272000454,0.4124378080333083
5,2000,6,0.9752178521404385,1.1899945067512157,-0.769875395945923,0.8646396070743144,0.9858834264073005,0.661108059306231,-0.42770855330329055,0.480355337263508
6,2000,7,0.9874518865796542,1.0573997678439304,-0.5861434880923193,0.6904739035990213,0.9923756648029118,0.5874443154688502,-0.3256352711623996,0.38359661311056736
7,2000,8,0.987340133294258,1.120979729961452,-0.3278820626620365,0.7950050907293956,0.9887586292220477,0.6227665166452511,-0.18215670147890917,0.4416694948496642
8,2000,9,0.9843747097558069,1.1066840658394865,-0.3585293848228214,0.9330023291843423,0.9863364238625907,0.614824481021937,-0.1991829915682341,0.5183346273246346
9,2000,10,0.9736532066955301,1.2336098465611127,-0.13625448691775924,1.1177634726747419,0.9791327956628514,0.6853388036450626,-0.0756969371765329,0.6209797070415233
10,2000,11,0.8261168062527031,1.754305951915921,-1.1387042011388102,1.606343311043512,0.9040185307758286,0.9746144177310672,-0.6326134450771168,0.8924129505797288
11,2000,12,0.6006042345372362,1.6442040126124566,-1.1863483354516224,1.4723442656171957,0.8091113359082919,0.913446673673587,-0.6590824085842347,0.8179690364539975
12,2000,annual,0.9713921373599764,1.244325745234328,-0.6603894027598433,0.9775850806614929,0.9796146523696858,0.6912920806857378,-0.36688300153324627,0.5431028225897182
13,2001,1,0.6020717991050724,0.9127300222622299,0.7970500760296184,0.8070500760296189,0.9130529957168045,0.5070722345901277,0.44280559779423245,0.44836115334978827
14,2001,2,0.7791366474155129,0.4377673928388402,0.34698281933572145,0.34698281933572145,0.9472832795412177,0.243204107132689,0.1927682329642897,0.1927682329642897
15,2001,3,0.9207526273319825,0.8403790194297718,0.5351301578238509,0.7737158090825197,0.9536669368394952,0.4668772330165399,0.2972945321243616,0.4298421161569554
16,2001,4,0.9559559014713929,0.8825317926330678,0.15544867968861226,0.7180306203323301,0.9810733403139811,0.4902954403517043,0.08636037760478459,0.39890590018462785
17,2001,5,0.9625683235378094,1.3264670441294293,0.10281594097431096,0.8276365692741393,0.9654581655626935,0.7369261356274607,0.05711996720795053,0.4597980940411885
18,2001,6,0.9877550269607426,0.9910451517573545,0.10597771523424673,0.7218330268368645,0.9917620981842039,0.5505806398651969,0.05887650846347041,0.40101834824270244
19,2001,7,0.9900476808936037,1.0805282721044274,0.08822507969996048,0.7567271576231437,0.9949396870736894,0.6002934845024597,0.04901393316664471,0.42040397645730204
20,2001,8,0.9916714814068756,1.0466485224513988,0.39455175198233716,0.8918754183388813,0.9964226758827152,0.5814714013618882,0.21919541776796508,0.4954863435216007
21,2001,9,0.9903888685615866,1.0797074403455227,0.7312985212777189,0.9550266783088853,0.9952154800671669,0.5998374668586237,0.4062769562653994,0.5305703768382696
22,2001,10,0.9815401832147961,1.2375833469887645,1.02131708774083,1.0635916496878624,0.99652204872629,0.6875463038826469,0.5673983820782389,0.5908842498265902
23,2001,11,0.9338975652680348,1.4490047920989915,0.641116815557879,1.1868615267323788,0.9645329426193282,0.8050026622772175,0.3561760086432661,0.6593675148513215
24,2001,12,0.7629934338876065,1.066441152158237,-0.7856138252930616,0.7883669764091892,0.9222134077897799,0.5924673067545762,-0.43645212516281195,0.43798165356066066
25,2001,annual,0.9842432212335054,1.0983870007201708,0.3643784384130837,0.8440326062096993,0.9861779488045478,0.6102150004000949,0.2024324657850465,0.46890700344983294
26,2002,1,0.5905749353897918,0.6756953418179223,0.4777684790344542,0.5265366551020548,0.8167522893734219,0.37538630100995685,0.265426932796919,0.292520363945586
27,2002,2,0.5539191541350543,1.0413889677733275,0.5320058872084875,0.9393792985101888,0.7167589248540133,0.5785494265407375,0.2955588262269375,0.521877388061216
28,2002,3,0.6581819877022799,0.9774134075285003,0.4310347341862753,0.8683379987162527,0.9606602163946852,0.5430074486269446,0.23946374121459738,0.48240999928680706
29,2002,4,0.8531355441039948,1.7703531241340495,0.015978231027818524,1.1715610834787178,0.8652721799493548,0.9835295134078053,0.008876795015454736,0.6508672685992877
30,2002,5,0.9822698327659226,0.8196072063838036,0.1301768651077753,0.6925161610760528,0.9861757441284733,0.45533733687989086,0.07232048061543071,0.38473120059780713
31,2002,6,0.9814027945872009,1.123443609350056,-0.13565503346226346,0.7754271673820659,0.9910535354961831,0.6241353385278089,-0.07536390747903525,0.43079287076781436
32,2002,7,0.991260504587177,1.0428186045905472,-0.13901249989474493,0.7359738801727727,0.9942136718457699,0.5793436692169707,-0.07722916660819162,0.4088743778737626
33,2002,8,0.9939317586087184,0.8721494227967922,0.15596144451645874,0.5586608307484294,0.9944070061083724,0.484527457109329,0.08664524695358819,0.3103671281935719
34,2002,9,0.9974673575898921,0.5230394533113882,-0.034802377273065545,0.38601924501533036,0.9980835753999296,0.29057747406188233,-0.01933465404059197,0.21445513611962796
35,2002,10,0.9971118908610374,0.47426796560555196,0.08430644700472295,0.3536181643366751,0.9972095534388867,0.2634822031141955,0.04683691500262386,0.19645453574259727
36,2002,11,0.972878059790481,0.8694972744945514,-0.37383110140432985,0.802647607086479,0.9782358703615217,0.4830540413858619,-0.2076839452246277,0.4459153372702661
37,2002,12,,,,,,,,
38,2002,annual,0.9878979700239048,0.9477011596777994,0.05483261688503858,0.6821828137779156,0.9894622255397506,0.5265006442654441,0.030462564936132544,0.37899045209884197
39,2003,1,0.9161625813834586,0.5190609884538473,-0.3681548761919851,0.39813647173308947,0.9632913751929446,0.2883672158076929,-0.20453048677332505,0.22118692874060525
40,2003,2,0.8385171264518627,0.5304682198293434,0.3584326806888558,0.49649163839788946,0.9690825034034574,0.29470456657185745,0.19912926704936434,0.2758286879988275
41,2003,3,0.832638398826112,0.7749557513792621,0.43450153154025406,0.7360652650334305,0.9794345300936246,0.4305309729884789,0.24138973974458558,0.4089251472407947
42,2003,4,0.9319348089125025,0.6424724495118848,0.403400455356425,0.5984635805147805,0.9675461924202581,0.35692913861771375,0.22411136408690277,0.33247976695265585
43,2003,5,0.9568796224249863,0.7327181096223775,0.2069624690613242,0.5227020863628948,0.9647217579125654,0.4070656164568764,0.11497914947851344,0.290390047979386
44,2003,6,0.9838660226659817,0.9750592577597543,0.054601844316353884,0.5640789820969012,0.9847961518590167,0.5416995876443079,0.030334357953529935,0.31337721227605625
45,2003,7,0.9901381676039461,0.9384888656064065,0.3690265550695751,0.5656567602870323,0.991847825543167,0.5213827031146703,0.2050147528164306,0.3142537557150179
46,2003,8,0.9843880342003434,1.2356443369688732,0.3833296361714968,0.8371522621214229,0.9858946260967443,0.6864690760938185,0.21296090898416487,0.46508459006745717
